Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
bus_3ccd5d1d	a	Oh mince, j'avais complétement zappé !	game/scene_bus.rpy	7	a "[what]"
bus_a638df06	a	Super, je vais le chercher	game/scene_bus.rpy	8	a "[what]"
bus_21fed265	a	mais...mais...	game/scene_bus.rpy	13	a "[what]"
bus_47fda2a4	a	C'est la photo de Pierre mon frère!	game/scene_bus.rpy	14	a "[what]"
bus_4acc2796	a	Mais comment c'est possible, c'est ma photo en plus ! 	game/scene_bus.rpy	15	a "[what]"
bus_a832f645	a	Elle doit même encore être sur mon téléphone	game/scene_bus.rpy	16	a "[what]"
bus_a41f760d	empty		game/scene_bus.rpy	19	empty "[what]"
serachInGallery_69b99a8c	a	Cherchons	game/scene_bus.rpy	25	a "[what]"
serachInGallery_eacc1848	a	Il faut que je fasse le tri !	game/scene_bus.rpy	26	a "[what]"
serachInGallery_8025cbc2	a	Non je n'ai rien...comment ça se fait ?	game/scene_bus.rpy	29	a "[what]"
serachInGallery_b33f5fa7	a	Elle doit être ailleurs...	game/scene_bus.rpy	32	a "[what]"
serachInGallery_a41f760d	empty		game/scene_bus.rpy	34	empty "[what]"
searchInDataCloud_38d77606	a	elle est peut être sur le cloud...	game/scene_bus.rpy	37	a "[what]"
searchInDataCloud_2541b833	a	il me reste encore un peu de batterie	game/scene_bus.rpy	39	a "[what]"
searchInDataCloud_a41f760d	empty		game/scene_bus.rpy	41	empty "[what]"
travelToStore_11b9e908	a	mais comment ils ont obtenu cette photo...	game/scene_bus.rpy	48	a "[what]"
dataZon_f9a28b7c	a	allons voir mes mails	game/scene_dataZon.rpy	7	a "[what]"
dataZon_7801daef	a	allons-y !	game/scene_dataZon.rpy	9	a "[what]"
mailx3_3cffb627	a	hum... je lis quel mail	game/scene_dataZon.rpy	17	a "[what]"
mailx3_a41f760d	empty		game/scene_dataZon.rpy	20	empty "[what]"
brouillon_d6e92b32	a	Ah mais oui mon mail d'hier soir... Je dois le finir.	game/scene_dataZon.rpy	26	a "[what]"
brouillon_7bb81c00	a	Bon je l'envoi à tous mes contacts. J'envoi en A ou en CCI ?	game/scene_dataZon.rpy	27	a "[what]"
brouillon_a41f760d	empty		game/scene_dataZon.rpy	30	empty "[what]"
Brouillon_phone_ok_a18bcea0	e_nvl	Bravo, En effet rien ne sert de communiquer les mails de tes proches à tous	game/scene_dataZon.rpy	36	e_nvl "[what]"
Brouillon_phone_No_3f6a2e40	e_nvl	Il faut mieux éviter de placer tous tes contacts dans A car tu communiques les adresses à tous.	game/scene_dataZon.rpy	43	e_nvl "[what]"
mail_coli6mots_94cc9017	a	Hum un colis ?	game/scene_dataZon.rpy	49	a "[what]"
mail_coli6mots_a41f760d	empty		game/scene_dataZon.rpy	52	empty "[what]"
feed_coli6mots_410f8f2d	a	Oh Zut !	game/scene_dataZon.rpy	58	a "[what]"
Noformok_0452274f	e_nvl	Bravo, il ne faut pas en effet répondre à ce genre de mail. L'adresse mail était suspecte	game/scene_dataZon.rpy	62	e_nvl "[what]"
phonestopcoli6mots_531116c4	e_nvl	Zut, voici un mail du type phishing qui cherche à dérober des informations et à vous extorquer de l'argent.	game/scene_dataZon.rpy	70	e_nvl "[what]"
phonestopcoli6mots_9d0c4961	e_nvl	Pensez à vérifier l'adresse de l'expéditeur avant de cliquer	game/scene_dataZon.rpy	71	e_nvl "[what]"
superclerc_6bdf6ddc	a	ok, mon ticket de course	game/scene_dataZon.rpy	78	a "[what]"
mailsepharo_1fce4edc	a	Oh ? Ah oui c'est vrai j'avais laissé ma géolocalisation activée	game/scene_dataZon.rpy	84	a "[what]"
forest_0b83314a	a	Oh c'est tellement bien d'être en forêt loin des réseaux, je me sens ressourcée	game/scene_forest.rpy	6	a "[what]"
forest_59884e7d	a	Je récupère des points de vie privée (localisation)	game/scene_forest.rpy	8	a "[what]"
forest_e840c366	a	Je récupère des points de vie privée (sociaux)	game/scene_forest.rpy	10	a "[what]"
forest_4926caec	a	Je récupère des points de vie privée (santé)	game/scene_forest.rpy	12	a "[what]"
forest_29d001f1	a	Je récupère des points de vie privée (administrative)	game/scene_forest.rpy	14	a "[what]"
forest_ab041881	a	Je récupère des points de vie privée (interet)	game/scene_forest.rpy	16	a "[what]"
forest_e9c3f305	a	Je récupère des points de vie privée (conviction)	game/scene_forest.rpy	18	a "[what]"
forest_36ffca1e	a	Je suis trop content	game/scene_forest.rpy	19	a "[what]"
tuto_28532739	medBubble	Vos points de données personnelles se trouvent ici	game/scene_tuto.rpy	6	medBubble "[what]"
tuto_fdfa236f	medBubble	Ils sont répartis en 6 catégories	game/scene_tuto.rpy	7	medBubble "[what]"
tuto_b97c4714	medBubble	Les données de centre d’intérêt	game/scene_tuto.rpy	8	medBubble "[what]"
tuto_73fcff28	medBubble	Les données de santé	game/scene_tuto.rpy	9	medBubble "[what]"
tuto_48856e4e	medBubble	Les données de convictions	game/scene_tuto.rpy	10	medBubble "[what]"
tuto_8f17f2c5	medBubble	Les données de localisation	game/scene_tuto.rpy	11	medBubble "[what]"
tuto_2472cb7e	medBubble	Les données de réseaux sociaux	game/scene_tuto.rpy	12	medBubble "[what]"
tuto_34ff9160	medBubble	Les données administratives	game/scene_tuto.rpy	13	medBubble "[what]"
tuto_8dcec892	medBubble	Pour chacune de ces catégories, un chiffre vous indiquera le nombre de points restants	game/scene_tuto.rpy	14	medBubble "[what]"
tuto_d4f406ae	medBubble	Vous perdrez des points si vous ne prêtez pas attentions aux réglages permettant de préserver votre vie privée.	game/scene_tuto.rpy	16	medBubble "[what]"
tuto_684f4768	medBubble	Au contraire, des points vous seront attribués dans les cas suivants : \nEn suivant les tutoriels d’explication, \nEn faisant les bons choix, \nEn regardant les contenus supplémentaires	game/scene_tuto.rpy	18	medBubble "[what]"
walkOut_0ff83c0c	e_nvl	Votre chien veut sortir	game/scene_walkOut.rpy	4	e_nvl "[what]"
walkOut_4bbccb6c	e_nvl	C'est parti pour la promenade	game/scene_walkOut.rpy	5	e_nvl "[what]"
walkOut_cbca45e5	a	Je marche seule !	game/scene_walkOut.rpy	11	a "[what]"
walkOut_1a142556	sepharo_nvl	Vous passez devant Sepharo !	game/scene_walkOut.rpy	13	sepharo_nvl "[what]"
walkOut_eb1a6dae	sepharo_nvl	Venez profiter de notre offre du moment : Un parfum acheté le deuxième offert !	game/scene_walkOut.rpy	14	sepharo_nvl "[what]"
walkOut_51382dee	e_nvl	En laissant activée la géolocalisation sur ton téléphone, tu peux être visible par les réseaux, d’où la réception de message de publicité.	game/scene_walkOut.rpy	16	e_nvl "[what]"
walkOut_4df6a16d	e_nvl	Tu as la possibilité d’activer ou non cette fonction en touchant l’icône en haut du téléphone. Penses-y à l’avenir et essaye dès maintenant.	game/scene_walkOut.rpy	17	e_nvl "[what]"
walkOut_1ad22c3a	medBubble	Dés que le téléphone est visible, tu peux à tout moment désactiver un des paramètres	game/scene_walkOut.rpy	19	medBubble "[what]"
walkOut_a41f760d	empty		game/scene_walkOut.rpy	22	empty "[what]"
hub_a41f760d	empty		game/script.rpy	67	empty "[what]"
